rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
4693,A5016899308,Yang Zhang,Yang Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-1096-7966,High,1,0
4694,A5056764866,Yang Zhang,Yang Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-0381-7468,High,1,0
4695,A5100354547,Yang Zhang,Yang Zhang,1,31,3.23,2023,2023,4,https://orcid.org/0000-0001-5552-0319,High,1,0
4696,A5100354579,Yang Zhang,Yang Zhang,1,217,0.46,2025,2025,7,https://orcid.org/0000-0001-7462-2935,High,1,0
4697,A5100354611,Yang Zhang,Yang Zhang,1,166,0.6,2009,2009,0,https://orcid.org/0000-0001-9621-5185,High,1,0
4698,A5100354612,Yang Zhang,Yang Zhang,1,75,1.33,2023,2023,1,https://orcid.org/0000-0001-9639-5411,High,1,0
4699,A5100354626,Yang Zhang,Yang Zhang,1,107,0.93,2023,2023,1,https://orcid.org/0000-0002-0536-7798,High,1,0
4700,A5100354630,Yang Zhang,Yang Zhang,1,502,0.2,2018,2018,2,https://orcid.org/0000-0002-0789-4938,High,1,0
4701,A5100354636,Yang Zhang,Yang Zhang,1,184,0.54,2024,2024,3,https://orcid.org/0000-0002-1317-120X,High,1,0
4702,A5100354637,Yang Zhang,Yang Zhang,1,100,1.0,2015,2015,0,https://orcid.org/0000-0002-1483-9195,High,1,0
4703,A5100354648,Yang Zhang,Yang Zhang,1,77,1.3,2023,2023,1,https://orcid.org/0000-0002-2243-1093,High,1,0
4704,A5100354713,Yang Zhang,Yang Zhang,1,238,0.42,2009,2009,0,https://orcid.org/0000-0002-7219-3409,High,1,0
4705,A5100354722,Yang Zhang,Yang Zhang,1,75,1.33,2023,2023,1,https://orcid.org/0000-0002-7857-7147,High,1,0
4706,A5100354725,Yang Zhang,Yang Zhang,1,21,4.76,2021,2021,3,https://orcid.org/0000-0002-8113-3870,High,1,0
4707,A5100354730,Yang Zhang,Yang Zhang,1,39,2.56,2021,2021,4,https://orcid.org/0009-0007-4970-2213,High,1,0
4708,A5100528758,Yang Zhang,Yang Zhang,1,18,5.56,2023,2023,1,https://orcid.org/0009-0007-0856-4184,High,1,0
4709,A5100620971,Yang Zhang,Yang Zhang,1,100,1.0,2021,2021,1,https://orcid.org/0000-0002-3534-8133,High,1,0
4710,A5100659269,Yang Zhang,Yang Zhang,1,5,20.0,2023,2023,2,https://orcid.org/0000-0002-8668-951X,High,1,0
4711,A5100731925,Yang Zhang,Yang Zhang,1,40,2.5,2022,2022,2,https://orcid.org/0000-0002-4039-904X,High,1,0
4712,A5101536531,Yang Zhang,Yang Zhang,1,81,1.23,2021,2021,3,https://orcid.org/0000-0001-9983-0263,High,1,0
4713,A5102484987,Yang Zhang,Yang Zhang,1,6,16.67,2022,2022,2,https://orcid.org/0009-0004-6021-6353,High,1,0
4714,A5108052724,Yang Zhang,Yang Zhang,1,55,1.82,2011,2011,0,https://orcid.org/0000-0001-6809-0696,High,1,0
4715,A5112959879,Yang Zhang,Yang Zhang,1,6,16.67,2025,2025,1,https://orcid.org/0000-0003-3418-0612,High,1,0
4716,A5115596907,Yang Zhang,Yang Zhang,1,380,0.26,2023,2023,2,https://orcid.org/0000-0002-3588-4702,High,1,0
4717,A5117634646,Yang Zhang,Yang Zhang,1,245,0.41,2025,2025,3,https://orcid.org/0000-0002-9081-0802,High,1,0
4718,A5012506063,Yasunori Sato,Yoshihiro Sato,1,649,0.15,2017,2017,14,https://orcid.org/0000-0002-7189-5126,Review,0,1
4719,A5010978341,Yi Wang,Yi Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-8591-4383,High,1,0
4720,A5021396279,Yi Wang,Yi Wang,1,15,6.67,2025,2025,1,https://orcid.org/0000-0001-7079-0632,High,1,0
4721,A5033994816,Yi Wang,Yi Wang,1,3,33.33,2023,2023,1,https://orcid.org/0000-0002-5714-5943,High,1,0
4722,A5046054850,Yi Wang,Yi Wang,1,265,0.38,2025,2025,1,https://orcid.org/0000-0002-0818-724X,High,1,0
4723,A5063428342,Yi Wang,Yi Wang,1,7,14.29,2023,2023,1,https://orcid.org/0000-0001-5650-5671,High,1,0
4724,A5063949532,Yi Wang,Yi Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-2582-4554,High,1,0
4725,A5066024561,Yi Wang,Yi Wang,1,3,33.33,2023,2023,1,https://orcid.org/0000-0002-9398-5405,High,1,0
4726,A5067798693,Yi Wang,Yi Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-9670-4181,High,1,0
4727,A5080918574,Yi Wang,Yi Wang,1,49,2.04,2023,2023,1,https://orcid.org/0000-0003-0733-5551,High,1,0
4728,A5091654591,Yi Wang,Yi Wang,1,113,0.88,2021,2021,1,https://orcid.org/0000-0001-6068-5310,High,1,0
4729,A5100325544,Yi Wang,Yi Wang,1,56,1.79,2024,2024,1,https://orcid.org/0000-0003-2704-9448,High,1,0
4730,A5100364886,Yi Wang,Yi Wang,1,309,0.32,2010,2010,0,https://orcid.org/0000-0002-1347-7030,High,1,0
4731,A5100364899,Yi Wang,Yi Wang,1,750,0.13,2022,2022,2,https://orcid.org/0000-0001-9921-0304,High,1,0
4732,A5100364910,Yi Wang,Yi Wang,1,40,2.5,2024,2024,3,https://orcid.org/0000-0002-1043-7156,High,1,0
4733,A5100364925,Yi Wang,Yi Wang,1,345,0.29,2023,2023,4,https://orcid.org/0000-0002-2067-5465,High,1,0
4734,A5100364953,Yi Wang,Yi Wang,1,48,2.08,2023,2023,1,https://orcid.org/0000-0002-4448-1809,High,1,0
4735,A5100364960,Yi Wang,Yi Wang,1,550,0.18,2023,2023,2,https://orcid.org/0000-0002-5750-3181,High,1,0
4736,A5100364987,Yi Wang,Yi Wang,1,20,5.0,2024,2024,2,https://orcid.org/0000-0002-8892-8836,High,1,0
4737,A5100364988,Yi Wang,Yi Wang,1,363,0.28,2026,2026,3,https://orcid.org/0000-0002-9095-6879,High,1,0
4738,A5100365001,Yi Wang,Yi Wang,1,195,0.51,2025,2025,0,https://orcid.org/0000-0003-0797-5209,High,1,0
4739,A5100365016,Yi Wang,Yi Wang,1,310,0.32,2021,2021,3,https://orcid.org/0000-0003-2455-2988,High,1,0
4740,A5100365034,Yi Wang,Yi Wang,1,45,2.22,2024,2024,2,https://orcid.org/0000-0003-4106-5698,High,1,0
4741,A5100365036,Yi Wang,Yi Wang,1,25,4.0,2024,2024,2,https://orcid.org/0000-0003-4308-2379,High,1,0
4742,A5100365038,Yi Wang,Yi Wang,1,36,2.78,2024,2024,3,https://orcid.org/0000-0003-4848-131X,High,1,0
4743,A5100599720,Yi Wang,Yi Wang,1,60,1.67,2023,2023,1,https://orcid.org/0000-0002-8235-2952,High,1,0
4744,A5100602098,Yi Wang,Yi Wang,1,27,3.7,2023,2023,1,https://orcid.org/0000-0002-6319-5410,High,1,0
4745,A5100640575,Yi Wang,Yi Wang,1,138,0.72,2010,2010,0,https://orcid.org/0000-0002-1280-5418,High,1,0
4746,A5100717825,Yi Wang,Yi Wang,1,105,0.95,2023,2023,2,https://orcid.org/0000-0002-7000-693X,High,1,0
4747,A5100721619,Yi Wang,Yi Wang,1,453,0.22,2024,2024,8,https://orcid.org/0000-0003-4028-2471,High,1,0
4748,A5100734534,Yi Wang,Yi Wang,1,129,0.78,2023,2023,1,https://orcid.org/0000-0002-8360-6627,High,1,0
4749,A5100734695,Yi Wang,Yi Wang,1,225,0.44,2010,2010,0,https://orcid.org/0000-0003-3162-6711,High,1,0
4750,A5100745330,Yi Wang,Yi Wang,1,58,1.72,2022,2022,3,https://orcid.org/0000-0001-7527-555X,High,1,0
4751,A5100773313,Yi Wang,Yi Wang,1,182,0.55,2022,2022,0,https://orcid.org/0000-0002-6074-0532,High,1,0
4752,A5100779893,Yi Wang,Yi Wang,1,5,20.0,2019,2019,0,https://orcid.org/0000-0001-9655-6692,High,1,0
4753,A5100784213,Yi Wang,Yi Wang,1,244,0.41,2022,2022,2,https://orcid.org/0000-0001-8659-4724,High,1,0
4754,A5101588346,Yi Wang,Yi Wang,1,44,2.27,2023,2023,1,https://orcid.org/0000-0003-3757-1184,High,1,0
4755,A5101609397,Yi Wang,Yi Wang,1,21,4.76,2023,2023,2,https://orcid.org/0000-0002-2633-2295,High,1,0
4756,A5101671600,Yi Wang,Yi Wang,1,26,3.85,2023,2023,1,https://orcid.org/0000-0001-6226-4691,High,1,0
4757,A5101770872,Yi Wang,Yi Wang,1,4,25.0,2021,2021,3,,Probable,1,0
4758,A5102888516,Yi Wang,Yi Wang,1,3,33.33,2023,2023,2,https://orcid.org/0000-0001-6017-4510,High,1,0
4759,A5012249136,Yi Zhang,Yi Zhang,1,290,0.34,2010,2010,0,https://orcid.org/0000-0001-7153-0955,High,1,0
4760,A5024279012,Yi Zhang,Yi Zhang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-5516-8925,High,1,0
4761,A5055191826,Yi Zhang,Yi Zhang,1,6,16.67,2025,2025,3,https://orcid.org/0000-0003-0428-3848,High,1,0
4762,A5056734939,Yi Zhang,Yi Zhang,1,3,33.33,2023,2023,1,https://orcid.org/0000-0001-5084-535X,High,1,0
4763,A5060062239,Yi Zhang,Yi Zhang,1,161,0.62,2022,2022,2,https://orcid.org/0000-0002-8483-4349,High,1,0
4764,A5061044539,Yi Zhang,Yi Zhang,1,1,100.0,2023,2023,1,,Probable,1,0
4765,A5065268901,Yi Zhang,Yi Zhang,1,55,1.82,2021,2021,0,https://orcid.org/0000-0002-3018-3771,High,1,0
4766,A5100388018,Yi Zhang,Yi Zhang,1,185,0.54,2023,2023,1,https://orcid.org/0000-0001-5263-5823,High,1,0
4767,A5100388021,Yi Zhang,Yi Zhang,1,28,3.57,2023,2023,1,https://orcid.org/0000-0001-5463-9844,High,1,0
4768,A5100388033,Yi Zhang,Yi Zhang,1,177,0.56,2009,2009,0,https://orcid.org/0000-0001-6055-9461,High,1,0
4769,A5100388075,Yi Zhang,Yi Zhang,1,223,0.45,2020,2020,0,https://orcid.org/0000-0001-8693-3554,High,1,0
4770,A5100388091,Yi Zhang,Yi Zhang,1,92,1.09,2023,2023,1,https://orcid.org/0000-0001-9962-7783,High,1,0
4771,A5100388118,Yi Zhang,Yi Zhang,1,522,0.19,2025,2025,1,https://orcid.org/0000-0002-1603-8623,High,1,0
4772,A5100388126,Yi Zhang,Yi Zhang,1,104,0.96,2024,2024,1,https://orcid.org/0000-0002-2028-048X,High,1,0
4773,A5100388148,Yi Zhang,Yi Zhang,1,50,2.0,2011,2011,0,https://orcid.org/0000-0002-3622-8344,High,1,0
4774,A5100388191,Yi Zhang,Yi Zhang,1,73,1.37,2022,2022,1,https://orcid.org/0000-0001-7509-5057,High,1,0
4775,A5100388218,Yi Zhang,Yi Zhang,1,647,0.15,2025,2025,7,https://orcid.org/0000-0002-7731-0301,High,1,0
4776,A5100388230,Yi Zhang,Yi Zhang,1,525,0.19,2021,2021,1,https://orcid.org/0000-0002-8452-9694,High,1,0
4777,A5100388297,Yi Zhang,Yi Zhang,1,328,0.3,2005,2005,0,https://orcid.org/0000-0003-2024-2624,High,1,0
4778,A5100388300,Yi Zhang,Yi Zhang,1,215,0.47,2023,2023,1,https://orcid.org/0000-0003-2314-881X,High,1,0
4779,A5100388301,Yi Zhang,Yi Zhang,1,39,2.56,2016,2016,1,https://orcid.org/0000-0003-2368-4751,High,1,0
4780,A5100388339,Yi Zhang,Yi Zhang,1,262,0.38,2020,2020,1,https://orcid.org/0000-0003-4769-6642,High,1,0
4781,A5100388349,Yi Zhang,Yi Zhang,1,71,1.41,2026,2026,3,https://orcid.org/0009-0000-8623-0867,High,1,0
4782,A5100661905,Yi Zhang,Yi Zhang,1,94,1.06,2010,2010,0,https://orcid.org/0000-0003-3022-6222,High,1,0
4783,A5100758537,Yi Zhang,Yi Zhang,1,176,0.57,2023,2023,2,https://orcid.org/0000-0001-8806-847X,High,1,0
4784,A5101792540,Yi Zhang,Yi Zhang,1,10,10.0,2023,2023,2,https://orcid.org/0000-0001-7301-0689,High,1,0
4785,A5102728879,Yi Zhang,Yi Zhang,1,1,100.0,2025,2025,1,https://orcid.org/0009-0005-5737-1755,High,1,0
4786,A5108823933,Yi Zhang,Yi Zhang,1,43,2.33,2023,2023,1,https://orcid.org/0009-0001-3785-9324,High,1,0
4787,A5108047889,Yi-Xiang Wang,Yi Wang,1,9900,0.01,2025,2025,1,https://orcid.org/0000-0001-5697-0717,High,1,0
4788,A5102647679,Ying Chun Li,Ying Li,1,15,6.67,2025,2025,1,,Probable,1,0
4789,A5014135483,Ying Li,Ying Li,1,198,0.51,2025,2025,0,https://orcid.org/0000-0001-8780-1182,High,1,0
4790,A5019152108,Ying Li,Ying Li,1,1,100.0,2023,2023,0,https://orcid.org/0000-0003-0875-9073,High,1,0
4791,A5023985119,Ying Li,Ying Li,1,151,0.66,2025,2025,1,https://orcid.org/0000-0002-7651-6543,High,1,0
4792,A5025331536,Ying Li,Ying Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0003-2922-5126,High,1,0
4793,A5037995370,Ying Li,Ying Li,1,1,100.0,2023,2023,1,https://orcid.org/0000-0003-3541-8776,High,1,0
4794,A5100358931,Ying Li,Ying Li,1,102,0.98,2009,2009,0,https://orcid.org/0000-0001-5036-2550,High,1,0
4795,A5100414003,Ying Li,Ying Li,1,19,5.26,2023,2023,1,https://orcid.org/0000-0001-5623-5341,High,1,0
4796,A5100414025,Ying Li,Ying Li,1,51,1.96,2023,2023,1,https://orcid.org/0000-0001-6440-3122,High,1,0
4797,A5100414034,Ying Li,Ying Li,1,16,6.25,2022,2022,0,https://orcid.org/0000-0001-6980-2798,High,1,0
4798,A5100414049,Ying Li,Ying Li,1,1207,0.08,2021,2021,2,https://orcid.org/0000-0001-7554-0958,High,1,0
4799,A5100414133,Ying Li,Ying Li,1,253,0.4,2023,2023,1,https://orcid.org/0000-0002-0835-7368,High,1,0
4800,A5100414148,Ying Li,Ying Li,1,279,0.36,2025,2025,1,https://orcid.org/0000-0002-1293-6610,High,1,0
4801,A5100414156,Ying Li,Ying Li,1,1135,0.09,2024,2024,8,https://orcid.org/0000-0002-1487-3350,High,1,0
4802,A5100414175,Ying Li,Ying Li,1,466,0.21,2011,2011,0,https://orcid.org/0000-0002-2542-7460,High,1,0
4803,A5100414192,Ying Li,Ying Li,1,18,5.56,2021,2021,3,https://orcid.org/0000-0002-3079-8354,High,1,0
4804,A5100414208,Ying Li,Ying Li,1,474,0.21,2024,2024,4,https://orcid.org/0000-0002-3506-1255,High,1,0
4805,A5100414299,Ying Li,Ying Li,1,205,0.49,2022,2022,16,https://orcid.org/0000-0002-7043-9962,High,1,0
4806,A5100414308,Ying Li,Ying Li,1,51,1.96,2026,2026,9,https://orcid.org/0000-0002-7440-808X,High,1,0
4807,A5100414320,Ying Li,Ying Li,1,207,0.48,2019,2019,0,https://orcid.org/0000-0002-7757-7399,High,1,0
4808,A5100414321,Ying Li,Ying Li,1,131,0.76,2019,2019,1,https://orcid.org/0000-0002-7804-149X,High,1,0
4809,A5100414323,Ying Li,Ying Li,1,179,0.56,2021,2021,1,https://orcid.org/0000-0002-7835-3135,High,1,0
4810,A5100414390,Ying Li,Ying Li,1,59,1.69,2011,2011,0,https://orcid.org/0000-0003-0926-3598,High,1,0
4811,A5100414426,Ying Li,Ying Li,1,111,0.9,2022,2022,1,https://orcid.org/0000-0003-2136-0673,High,1,0
4812,A5100414463,Ying Li,Ying Li,1,445,0.22,2023,2023,3,https://orcid.org/0000-0003-4012-6954,High,1,0
4813,A5100414464,Ying Li,Ying Li,1,24,4.17,2024,2024,1,https://orcid.org/0000-0003-4021-4970,High,1,0
4814,A5100414467,Ying Li,Ying Li,1,107,0.93,2021,2021,8,https://orcid.org/0000-0003-4080-3214,High,1,0
4815,A5100414483,Ying Li,Ying Li,1,30,3.33,2013,2013,0,https://orcid.org/0000-0003-4929-1120,High,1,0
4816,A5100414484,Ying Li,Ying Li,1,781,0.13,2011,2011,0,https://orcid.org/0000-0003-4941-571X,High,1,0
4817,A5100414485,Ying Li,Ying Li,1,76,1.32,2024,2024,2,https://orcid.org/0000-0003-4968-4100,High,1,0
4818,A5100462701,Ying Li,Ying Li,1,133,0.75,2021,2021,4,https://orcid.org/0000-0002-6050-6869,High,1,0
4819,A5100577104,Ying Li,Ying Li,1,30,3.33,2025,2025,1,https://orcid.org/0000-0002-7555-9031,High,1,0
4820,A5100710018,Ying Li,Ying Li,1,310,0.32,2011,2011,0,https://orcid.org/0000-0002-4318-591X,High,1,0
4821,A5101801472,Ying Li,Ying Li,1,250,0.4,2015,2015,0,https://orcid.org/0009-0006-1315-6559,High,1,0
4822,A5106231611,Ying Li,Ying Li,1,37,2.7,2015,2015,1,https://orcid.org/0000-0002-1449-5660,High,1,0
4823,A5003674725,Ying Li Wang,Ying Wang,1,12,8.33,2025,2025,0,,Probable,1,0
4824,A5015005775,Ying Liu,Ying Liu,1,11,9.09,2024,2024,2,https://orcid.org/0000-0001-7457-5083,High,1,0
4825,A5015648401,Ying Liu,Ying Liu,1,3,33.33,2023,2023,1,https://orcid.org/0000-0002-1630-1567,High,1,0
4826,A5028850241,Ying Liu,Ying Liu,1,151,0.66,2011,2011,0,https://orcid.org/0000-0003-3740-9144,High,1,0
4827,A5051167897,Ying Liu,Ying Liu,1,2,50.0,2023,2023,1,https://orcid.org/0000-0002-7336-8733,High,1,0
4828,A5058514233,Ying Liu,Ying Liu,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-8807-8969,High,1,0
4829,A5071570091,Ying Liu,Ying Liu,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-9070-8317,High,1,0
4830,A5081442362,Ying Liu,Ying Liu,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-3760-2406,High,1,0
4831,A5087037668,Ying Liu,Ying Liu,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-5979-8238,High,1,0
4832,A5090702152,Ying Liu,Ying Liu,1,236,0.42,2021,2021,1,https://orcid.org/0000-0002-1420-9097,High,1,0
4833,A5100414021,Ying Liu,Ying Liu,1,96,1.04,2010,2010,0,https://orcid.org/0000-0001-6216-5538,High,1,0
4834,A5100414044,Ying Liu,Ying Liu,1,77,1.3,2025,2025,7,https://orcid.org/0000-0001-7423-5169,High,1,0
4835,A5100414090,Ying Liu,Ying Liu,1,41,2.44,2022,2022,2,https://orcid.org/0000-0001-9216-0009,High,1,0
4836,A5100414097,Ying Liu,Ying Liu,1,691,0.14,2020,2020,6,https://orcid.org/0000-0001-9385-992X,High,1,0
4837,A5100414193,Ying Liu,Ying Liu,1,39,2.56,2009,2009,0,https://orcid.org/0000-0002-3117-9926,High,1,0
4838,A5100414212,Ying Liu,Ying Liu,1,225,0.44,2025,2025,5,https://orcid.org/0000-0002-3771-3747,High,1,0
4839,A5100414223,Ying Liu,Ying Liu,1,153,0.65,2013,2013,0,https://orcid.org/0000-0002-4159-5755,High,1,0
4840,A5100414249,Ying Liu,Ying Liu,1,32,3.12,2026,2026,9,https://orcid.org/0000-0002-5288-742X,High,1,0
4841,A5100414283,Ying Liu,Ying Liu,1,18,5.56,2023,2023,1,https://orcid.org/0000-0002-6437-4242,High,1,0
4842,A5100414291,Ying Liu,Ying Liu,1,37,2.7,2023,2023,5,https://orcid.org/0000-0002-6670-3628,High,1,0
4843,A5100414293,Ying Liu,Ying Liu,1,37,2.7,2019,2019,0,https://orcid.org/0000-0002-6731-1351,High,1,0
4844,A5100414317,Ying Liu,Ying Liu,1,182,0.55,2023,2023,7,https://orcid.org/0000-0002-7698-3184,High,1,0
4845,A5100414341,Ying Liu,Ying Liu,1,20,5.0,2025,2025,11,https://orcid.org/0000-0002-7529-0917,High,1,0
4846,A5100414379,Ying Liu,Ying Liu,1,12,8.33,2023,2023,2,https://orcid.org/0000-0003-0322-9786,High,1,0
4847,A5100414387,Ying Liu,Ying Liu,1,355,0.28,2022,2022,3,https://orcid.org/0000-0003-0802-3832,High,1,0
4848,A5100414403,Ying Liu,Ying Liu,1,18,5.56,2024,2024,1,https://orcid.org/0000-0003-1343-5399,High,1,0
4849,A5100414452,Ying Liu,Ying Liu,1,48,2.08,2022,2022,2,https://orcid.org/0000-0003-3392-5977,High,1,0
4850,A5100414459,Ying Liu,Ying Liu,1,167,0.6,2020,2020,0,https://orcid.org/0000-0003-3672-9621,High,1,0
4851,A5100414488,Ying Liu,Ying Liu,1,431,0.23,2023,2023,1,https://orcid.org/0009-0000-7194-2378,High,1,0
4852,A5100430719,Ying Liu,Ying Liu,1,44,2.27,2023,2023,2,https://orcid.org/0000-0002-2539-5462,High,1,0
4853,A5100631094,Ying Liu,Ying Liu,1,5,20.0,2023,2023,2,https://orcid.org/0000-0002-2697-778X,High,1,0
4854,A5100716886,Ying Liu,Ying Liu,1,46,2.17,2024,2024,3,https://orcid.org/0000-0002-3698-3702,High,1,0
4855,A5100778012,Ying Liu,Ying Liu,1,242,0.41,2023,2023,1,https://orcid.org/0000-0003-3397-3207,High,1,0
4856,A5100782741,Ying Liu,Ying Liu,1,44,2.27,2011,2011,0,https://orcid.org/0000-0002-6192-9601,High,1,0
4857,A5101655546,Ying Liu,Ying Liu,1,29,3.45,2021,2021,2,https://orcid.org/0000-0002-9246-8676,High,1,0
4858,A5101923319,Ying Liu,Ying Liu,1,12,8.33,2010,2010,0,https://orcid.org/0000-0002-1092-9206,High,1,0
4859,A5101932080,Ying Liu,Ying Liu,1,85,1.18,2023,2023,2,https://orcid.org/0000-0001-5532-8554,High,1,0
4860,A5108683792,Ying Liu,Ying Liu,1,124,0.81,2011,2011,0,https://orcid.org/0000-0001-9114-3426,High,1,0
4861,A5010958243,Ying Wang,Ying Wang,1,1,100.0,2024,2024,2,https://orcid.org/0000-0001-7518-7074,High,1,0
4862,A5014231537,Ying Wang,Ying Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-0412-0654,High,1,0
4863,A5023894502,Ying Wang,Ying Wang,1,303,0.33,2023,2023,2,https://orcid.org/0000-0002-1444-5778,High,1,0
4864,A5032656905,Ying Wang,Ying Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0001-9897-8418,High,1,0
4865,A5039935749,Ying Wang,Ying Wang,1,187,0.53,2024,2024,1,https://orcid.org/0000-0003-2377-9101,High,1,0
4866,A5048169117,Ying Wang,Ying Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-3665-5792,High,1,0
4867,A5052508414,Ying Wang,Ying Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0002-7836-829X,High,1,0
4868,A5053686996,Ying Wang,Ying Wang,1,266,0.38,2020,2020,0,https://orcid.org/0000-0003-2094-9347,High,1,0
4869,A5072012974,Ying Wang,Ying Wang,1,1,100.0,2023,2023,1,https://orcid.org/0000-0003-1258-1060,High,1,0
4870,A5085824540,Ying Wang,Ying Wang,1,51,1.96,2026,2026,10,https://orcid.org/0000-0002-4089-6775,High,1,0
4871,A5100346972,Ying Wang,Ying Wang,1,18,5.56,2022,2022,4,https://orcid.org/0000-0001-6195-8202,High,1,0
4872,A5100347012,Ying Wang,Ying Wang,1,58,1.72,2023,2023,2,https://orcid.org/0000-0001-8424-7200,High,1,0
4873,A5100347070,Ying Wang,Ying Wang,1,542,0.18,2023,2023,1,https://orcid.org/0000-0002-1819-294X,High,1,0
4874,A5100347075,Ying Wang,Ying Wang,1,401,0.25,2025,2025,2,https://orcid.org/0000-0002-2296-1991,High,1,0
4875,A5100347106,Ying Wang,Ying Wang,1,42,2.38,2019,2019,4,https://orcid.org/0000-0002-5261-2338,High,1,0
4876,A5100347116,Ying Wang,Ying Wang,1,150,0.67,2023,2023,1,https://orcid.org/0000-0002-5756-2480,High,1,0
4877,A5100347131,Ying Wang,Ying Wang,1,95,1.05,2022,2022,3,https://orcid.org/0000-0002-6613-0516,High,1,0
4878,A5100347137,Ying Wang,Ying Wang,1,39,2.56,2024,2024,3,https://orcid.org/0000-0002-6906-8543,High,1,0
4879,A5100347153,Ying Wang,Ying Wang,1,152,0.66,2021,2021,1,https://orcid.org/0000-0002-8015-3546,High,1,0
4880,A5100347154,Ying Wang,Ying Wang,1,182,0.55,2023,2023,1,https://orcid.org/0000-0002-8030-7314,High,1,0
4881,A5100347178,Ying Wang,Ying Wang,1,278,0.36,2022,2022,1,https://orcid.org/0000-0002-9636-6300,High,1,0
4882,A5100347183,Ying Wang,Ying Wang,1,514,0.19,2011,2011,0,https://orcid.org/0000-0002-9940-7606,High,1,0
4883,A5100347195,Ying Wang,Ying Wang,1,12,8.33,2023,2023,0,https://orcid.org/0000-0003-0992-7147,High,1,0
4884,A5100347214,Ying Wang,Ying Wang,1,27,3.7,2023,2023,2,https://orcid.org/0000-0003-2159-4269,High,1,0
4885,A5100347223,Ying Wang,Ying Wang,1,62,1.61,2011,2011,0,https://orcid.org/0000-0003-2668-6648,High,1,0
4886,A5100347226,Ying Wang,Ying Wang,1,12,8.33,2023,2023,3,https://orcid.org/0000-0003-2736-9484,High,1,0
4887,A5100347238,Ying Wang,Ying Wang,1,222,0.45,2021,2021,3,https://orcid.org/0000-0003-3491-7645,High,1,0
4888,A5100347247,Ying Wang,Ying Wang,1,246,0.41,2025,2025,3,https://orcid.org/0000-0003-4036-3677,High,1,0
4889,A5100347258,Ying Wang,Ying Wang,1,69,1.45,2022,2022,2,https://orcid.org/0000-0003-4443-1403,High,1,0
4890,A5100347268,Ying Wang,Ying Wang,1,62,1.61,2014,2014,0,https://orcid.org/0000-0003-4868-6147,High,1,0
4891,A5100458776,Ying Wang,Ying Wang,1,13,7.69,2011,2011,0,https://orcid.org/0000-0002-0365-1437,High,1,0
4892,A5100628741,Ying Wang,Ying Wang,1,113,0.88,2010,2010,0,https://orcid.org/0000-0001-6366-550X,High,1,0
4893,A5100628923,Ying Wang,Ying Wang,1,215,0.47,2023,2023,2,https://orcid.org/0000-0002-7682-8299,High,1,0
4894,A5100707081,Ying Wang,Ying Wang,1,118,0.85,2008,2008,1,https://orcid.org/0000-0002-3193-5912,High,1,0
4895,A5100726586,Ying Wang,Ying Wang,1,39,2.56,2024,2024,2,https://orcid.org/0000-0002-1324-1159,High,1,0
4896,A5101518188,Ying Wang,Ying Wang,1,11,9.09,2023,2023,2,https://orcid.org/0000-0002-5461-3051,High,1,0
4897,A5101547727,Ying Wang,Ying Wang,1,53,1.89,2023,2023,1,https://orcid.org/0000-0001-5129-4449,High,1,0
4898,A5101697202,Ying Wang,Ying Wang,1,12,8.33,2023,2023,1,https://orcid.org/0000-0002-1339-8439,High,1,0
4899,A5119272133,Ying Wang,Ying Wang,1,83,1.2,2023,2023,2,https://orcid.org/0000-0003-2278-5294,High,1,0
4900,A5044641119,Ying Yang,Yang Yang,1,363,0.28,2013,2013,1,https://orcid.org/0000-0002-8104-5985,Review,0,1
4901,A5003815460,Ying Zhang,Ying Zhang,1,4,25.0,2023,2023,1,https://orcid.org/0009-0009-1050-2091,High,1,0
4902,A5011347232,Ying Zhang,Ying Zhang,1,5,20.0,2023,2023,1,https://orcid.org/0000-0001-5880-6507,High,1,0
4903,A5011359621,Ying Zhang,Ying Zhang,1,2,50.0,2024,2024,2,https://orcid.org/0000-0002-9991-4747,High,1,0
4904,A5011429168,Ying Zhang,Ying Zhang,1,1,100.0,2023,2023,1,,Probable,1,0
4905,A5011792338,Ying Zhang,Ying Zhang,1,146,0.68,2011,2011,0,https://orcid.org/0000-0003-2212-1527,High,1,0
4906,A5019869278,Ying Zhang,Ying Zhang,1,1,100.0,2023,2023,1,,Probable,1,0
