rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
121,A5100368048,Na Li,Na Li,5,685,0.73,2010,2023,1,https://orcid.org/0000-0001-9545-3050,High,5,0
122,A5009411552,Qian Zhang,Qian Zhang,5,90,5.56,2019,2022,3,https://orcid.org/0000-0003-3107-9690,High,5,0
123,A5115603610,Qian Zhang,Qian Zhang,5,1782,0.28,2022,2025,1,https://orcid.org/0000-0001-5975-9781,High,5,0
124,A5034017799,Qiang Li,Qiang Li,5,3995,0.13,2020,2023,4,https://orcid.org/0000-0003-0096-7679,High,5,0
125,A5100455340,Tao Li,Tao Li,5,977,0.51,2009,2025,3,https://orcid.org/0000-0002-7988-3090,High,5,0
126,A5100375885,Tao Zhang,Tao Zhang,5,921,0.54,2021,2025,3,https://orcid.org/0000-0003-1048-4443,High,5,0
127,A5100344481,Wei Chen,Wei Chen,5,480,1.04,2023,2023,2,https://orcid.org/0000-0002-7663-278X,High,5,0
128,A5100318082,Wei Li,Wei Li,5,954,0.52,2020,2024,3,https://orcid.org/0000-0001-9931-5990,High,5,0
129,A5100391883,Wei Wang,Wei Wang,5,2475,0.2,2023,2023,1,https://orcid.org/0000-0002-1430-1360,High,5,0
130,A5115695500,Wei Wang,Wei Wang,5,1001,0.5,2018,2023,1,https://orcid.org/0000-0002-4848-7394,High,5,0
131,A5100329875,Xi Chen,Xi Chen,5,507,0.99,2022,2025,7,https://orcid.org/0000-0001-8473-7920,High,5,0
132,A5100353939,Xin Li,Xin Li,5,1217,0.41,2017,2025,3,https://orcid.org/0000-0002-7414-5734,High,5,0
133,A5100327835,Xin Wang,Xin Wang,5,1749,0.29,2022,2025,2,https://orcid.org/0000-0001-8051-1481,High,5,0
134,A5112930506,Y. Sato,Yoshihiro Sato,5,15,33.33,2017,2024,20,,Review,4,1
135,A5100378159,Yan Chen,Yan Chen,5,573,0.87,2017,2021,3,https://orcid.org/0000-0003-3516-9546,High,5,0
136,A5101989559,Yan Chen,Yan Chen,5,49,10.2,2021,2022,3,https://orcid.org/0000-0003-2719-0273,High,5,0
137,A5100351175,Yan Liu,Yan Liu,5,3617,0.14,2017,2024,2,https://orcid.org/0000-0003-4242-4840,High,5,0
138,A5030335492,Yan Zhang,Yan Zhang,5,2293,0.22,2022,2026,1,https://orcid.org/0000-0001-5738-9537,High,5,0
139,A5100355964,Yang Liu,Yang Liu,5,2126,0.24,2011,2024,1,https://orcid.org/0000-0002-6872-6815,High,5,0
140,A5100347000,Ying Wang,Ying Wang,5,112,4.46,2020,2025,1,https://orcid.org/0000-0001-7937-9858,High,5,0
141,A5100372378,Bin Wang,Bin Wang,4,1157,0.35,2010,2011,0.0,https://orcid.org/0000-0002-6242-7726,High,4,0
142,A5100392836,Bin Zhang,Bin Zhang,4,84,4.76,2013,2020,1.5,https://orcid.org/0000-0002-4026-6538,High,4,0
143,A5066418610,Bo Zhang,Bo Zhang,4,49,8.16,2011,2011,0.0,https://orcid.org/0000-0003-3033-299X,High,4,0
144,A5100335238,Bo Zhang,Bo Zhang,4,554,0.72,2021,2025,2.5,https://orcid.org/0000-0002-0804-6404,High,4,0
145,A5100656520,Dongmei Wu,Dong Mei Wu,4,38,10.53,2021,2022,4.0,https://orcid.org/0000-0003-1398-0434,High,4,0
146,A5100656515,Dong‐Mei Wu,Dong Mei Wu,4,32,12.5,2021,2023,5.0,,High,4,0
147,A5100321493,Fang Wang,Fang Wang,4,499,0.8,2021,2025,2.5,https://orcid.org/0009-0009-4639-4985,High,4,0
148,A5115602070,Fang Wang,Fang Wang,4,915,0.44,2020,2025,1.0,https://orcid.org/0000-0002-8808-8531,High,4,0
149,A5100455967,Fei Wang,Fei Wang,4,510,0.78,2011,2021,1.0,https://orcid.org/0000-0003-3948-6899,High,4,0
150,A5100448936,Feng Li,Feng Li,4,640,0.62,2022,2024,4.0,https://orcid.org/0000-0002-7961-3728,High,4,0
151,A5100438687,Gang Li,Gang Li,4,1783,0.22,2017,2024,2.5,https://orcid.org/0000-0002-3981-2239,High,4,0
152,A5100378741,H. J. Yang,Jing Yang; Jun Yang,4,2864,0.14,2022,2025,2.0,https://orcid.org/0009-0004-8274-9863,High,4,0
153,A5100339336,Hong Li,Hong Li,4,1717,0.23,2021,2024,4.5,https://orcid.org/0000-0001-5731-5335,High,4,0
154,A5100370968,Hong Wang,Hong Wang,4,421,0.95,2020,2023,4.5,https://orcid.org/0000-0003-0212-5379,High,4,0
155,A5100423976,Hui Li,Hui Li,4,368,1.09,2021,2024,2.0,https://orcid.org/0000-0003-3139-2898,High,4,0
156,A5100460757,Hui Wang,Hui Wang,4,1124,0.36,2006,2023,2.5,https://orcid.org/0000-0002-2454-3814,High,4,0
157,A5100460922,Hui Wang,Hui Wang,4,430,0.93,2021,2025,6.0,https://orcid.org/0000-0003-2791-8981,High,4,0
158,A5029268538,J Boldt,Joachim Boldt,4,29,13.79,2010,2023,14.5,,Review,0,4
159,A5041162076,Jian Xu,Jian Xu,4,302,1.32,2017,2025,4.5,https://orcid.org/0000-0002-8162-889X,High,4,0
160,A5115601815,Jie Chen,Jie Chen,4,751,0.53,2021,2024,4.0,https://orcid.org/0000-0003-2583-2631,High,4,0
161,A5100440013,Jie Wang,Jie Wang,4,1756,0.23,2018,2024,3.5,https://orcid.org/0000-0001-7870-0646,High,4,0
162,A5010249218,Jie Zhang,Jie Zhang,4,315,1.27,2009,2022,2.5,https://orcid.org/0000-0002-8344-5907,High,4,0
163,A5050099873,Jing Liu,Jing Liu,4,3972,0.1,2023,2023,1.0,https://orcid.org/0000-0002-3311-0818,High,4,0
164,A5100643198,Jing Wang,Jing Wang,4,291,1.37,2017,2025,4.0,https://orcid.org/0000-0002-9538-8452,High,4,0
165,A5115589198,Jing Wang,Jing Wang,4,2017,0.2,2023,2025,2.0,https://orcid.org/0000-0002-3793-3264,High,4,0
166,A5100753238,Jing Yang,Jing Yang,4,209,1.91,2010,2024,0.5,https://orcid.org/0000-0001-6646-3401,High,4,0
167,A5100345350,Jing Zhang,Jing Zhang,4,245,1.63,2022,2023,4.0,https://orcid.org/0000-0001-9617-9305,High,4,0
168,A5100450174,Jun Chen,Jun Chen,4,1179,0.34,2016,2023,5.0,https://orcid.org/0000-0002-2362-5359,High,4,0
169,A5100361872,Jun Li,Jun Li,4,702,0.57,2013,2022,2.0,https://orcid.org/0000-0002-5190-0733,High,4,0
170,A5042474689,Jun Yang,Jun Yang,4,593,0.67,2008,2025,1.0,https://orcid.org/0000-0002-9401-3528,High,4,0
171,A5100379195,Li Chen,Li Chen,4,483,0.83,2010,2010,3.0,https://orcid.org/0000-0001-9372-5606,High,4,0
172,A5100361005,Li Li,Li Li,4,1404,0.28,2023,2024,2.0,https://orcid.org/0000-0001-6746-4297,High,4,0
173,A5100361285,Li Li,Li Li,4,379,1.06,2017,2023,3.0,https://orcid.org/0000-0002-9702-4601,High,4,0
174,A5100361348,Li Li,Li Li,4,818,0.49,2021,2023,1.5,https://orcid.org/0000-0003-2342-3658,High,4,0
175,A5100418834,Li Liu,Li Liu,4,270,1.48,2024,2024,3.0,https://orcid.org/0000-0002-5771-8713,High,4,0
176,A5100336122,Li Wang,Li Wang,4,354,1.13,2023,2024,1.5,https://orcid.org/0000-0002-8969-7427,High,4,0
177,A5107889976,Li Wang,Li Wang,4,2036,0.2,2011,2023,1.5,https://orcid.org/0000-0003-3722-5986,High,4,0
178,A5006143021,Lin Zhang,Lin Zhang,4,169,2.37,2010,2010,0.0,https://orcid.org/0000-0001-9637-205X,High,4,0
179,A5106387597,Min Li,Min Li,4,179,2.23,2016,2020,3.5,https://orcid.org/0000-0002-1310-2503,High,4,0
180,A5052195927,Min Zhang,Min Zhang,4,377,1.06,2022,2024,4.0,https://orcid.org/0000-0001-5812-9518,High,4,0
181,A5100671580,Min Zhang,Min Zhang,4,69,5.8,2019,2019,7.0,https://orcid.org/0000-0003-2795-3955,High,4,0
182,A5100364045,Peng Zhang,Peng Zhang,4,173,2.31,2020,2024,6.0,https://orcid.org/0000-0001-8071-3729,High,4,0
