openalex_author_id,author,publisher,unique_retracted_papers
A5021079201,Jian Xu,Portland Press,1
A5021357452,Yong Zhang,Hindawi,1
A5021396279,Yi Wang,Elsevier - Cell Press,1
A5021396836,Hong Li,Hindawi,1
A5021403424,Hui Liu,Hindawi,1
A5021587687,Chandra Gopala Rao,Elsevier,2
A5021686024,Li Wang,Hindawi,1
A5021789427,Jing Liu,Hindawi,1
A5022072267,Yu Liu,IEEE: Institute of Electrical and Electronics Engineers,3
A5022072267,Yu Liu,Hindawi,1
A5022147727,Jing Li,Hindawi,1
A5022191573,Ming Li,Electrochemical Society,1
A5022221420,Jing Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5022385871,Jing Li,Hindawi,1
A5022393623,Wei Zhao,IEEE: Institute of Electrical and Electronics Engineers,1
A5022422432,Yu Liu,Hindawi,1
A5022437227,Jun Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5022445441,Jun Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5022545876,Qiang Li,Hindawi,1
A5022663899,Rui Wang,IOS Press (bought by Sage November 2023),1
A5022668271,Yang Li,Hindawi,1
A5022728411,Jun Zhang,Hindawi,1
A5022801986,Min Li,Hindawi,1
A5022913556,Bin Zhang,Hindawi,1
A5022927606,Xin Wang,Hindawi,1
A5023061114,Wei Zhang,Spandidos,1
A5023158319,Wei Li,Hindawi,1
A5023161928,Feng Li,IEEE: Institute of Electrical and Electronics Engineers,3
A5023162457,Jing Chen,Hindawi,1
A5023191101,Jie Zhang,Wiley,1
A5023343562,Jing Li,Hindawi,1
A5023366065,Tao Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5023421415,Bo Wang,Springer - Nature Publishing Group,1
A5023526748,Lei Zhang,Hindawi,1
A5023532600,Nan Li,Hindawi,1
A5023554955,Tao Wang,Hindawi,1
A5023556422,Wei Zhao,Hindawi,1
A5023583451,Feng Wang,National Academy of Sciences (NAS),1
A5023806511,Wei Chen,IOS Press (bought by Sage November 2023),1
A5023828770,Feng Wang,Elsevier,2
A5023828770,Feng Wang,PLoS,2
A5023828770,Feng Wang,Springer,2
A5023834481,Wei Zhao,Hindawi,1
A5023886785,Jing Li,Hindawi,1
A5023894502,Ying Wang,Hindawi,1
A5023949389,Hidenori Toyooka,Springer,37
A5023949389,Hidenori Toyooka,Wolters Kluwer - Lippincott Williams & Wilkins,20
A5023949389,Hidenori Toyooka,Wiley,10
A5023949389,Hidenori Toyooka,Oxford University Press,7
A5023949389,Hidenori Toyooka,Elsevier,6
A5023949389,Hidenori Toyooka,Wolters Kluwer,5
A5023949389,Hidenori Toyooka,Australian Society of Anaesthetists,3
A5023949389,Hidenori Toyooka,Wiley-Blackwell,1
A5023978169,Jun Yang,IEEE: Institute of Electrical and Electronics Engineers,2
A5023984232,Zhang We,Elsevier,1
A5023984232,Zhang We,Springer - Nature Publishing Group,1
A5023985119,Ying Li,Wiley,1
A5024036992,Jing Yang,Hindawi,2
A5024126105,Zhao Jing,Hindawi,1
A5024131897,Tao Li,Hindawi,1
A5024131897,Tao Li,IOS Press (bought by Sage November 2023),1
A5024267654,Ying Zhang,Hindawi,1
A5024279012,Yi Zhang,Hindawi,1
A5024511254,Jian Li,Hindawi,1
A5024606648,T. Liu,International Union of Crystallography,1
A5024688954,Jing Li,Hindawi,1
A5024719843,Peng Li,Hindawi,1
A5024795113,Lin Zhang,ASTM International,1
A5024992580,Bo Zhang,Hindawi,1
A5025311315,Jie Li,Springer - Nature Publishing Group,1
A5025329304,Gang Wang,Hindawi,1
A5025331536,Ying Li,Hindawi,1
A5025351076,Lei Liu,SAGE Publications,1
A5025401873,Jie Li,Hindawi,1
A5025401873,Jie Li,Portland Press,1
A5025401873,Jie Li,Taylor and Francis - Dove Press,1
A5025499246,Feng Wang,Hindawi,1
A5025537865,Yang Liu,Hindawi,1
A5025670295,Hui Wang,Hindawi,1
A5025692087,Ping Li,Wiley,1
A5025712127,Yan Li,Hindawi,1
A5025897794,Qi Wang,Elsevier,1
A5026080192,Ting-Kai Liu,International Union of Crystallography,1
A5026203203,Lei Liu,Springer,1
A5026244579,Wei Liu,Hindawi,1
A5026298072,Fei Wang,Hindawi,1
A5026299946,Xin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5026349477,Yan Zhang,Hindawi,1
A5026775636,Liu Wei,Hindawi,1
A5026818586,Wei Chen,Taylor and Francis - Dove Press,1
A5026873018,Ying Zhang,Hindawi,1
A5026909961,Jing Chen,Spandidos,1
A5026956824,Hong Li,Springer,1
A5026976348,Wei Li,Hindawi,2
A5026980795,Min Wang,Association for Computing Machinery (ACM),1
A5027012549,Xin Wang,Hindawi,1
A5027023668,Ping Zhang,Hindawi,1
A5027036101,Joachim Boldt,Elsevier,77
A5027036101,Joachim Boldt,Wolters Kluwer - Lippincott Williams & Wilkins,57
A5027036101,Joachim Boldt,Springer,33
A5027036101,Joachim Boldt,Wiley,14
A5027036101,Joachim Boldt,Wolters Kluwer,11
A5027036101,Joachim Boldt,Oxford University Press,7
A5027036101,Joachim Boldt,Thieme,5
A5027036101,Joachim Boldt,Wiley-Blackwell,5
A5027036101,Joachim Boldt,Lippincott Williams and Wilkins,1
A5027036101,Joachim Boldt,Springer - Nature Publishing Group,1
A5027036101,Joachim Boldt,Taylor and Francis,1
A5027061078,Jun Lü,eLife Sciences Publications,1
A5027281905,Na Li,Hindawi,1
A5027310258,T. Zhang,AIP Publishing,1
A5027327689,Qiang Li,Hindawi,1
A5027464346,Bingbo Zhang,Springer,1
A5027521117,Ming Li,Hindawi,1
A5027679708,Lei Zhang,Wiley,1
A5027826490,Rui Wang,Hindawi,1
A5027918199,Fang Wang,American Chemical Society (ACS),1
A5027925351,Jun Chen,Hindawi,1
A5027944033,Wei Zhao,Cellular Physiol Biochem Press,1
A5027944033,Wei Zhao,Hindawi,1
A5027944416,Qiang Li,Hindawi,1
A5028012159,Hao Chen,Elsevier - Cell Press,1
A5028114748,Ashok Pandey,Elsevier,37
A5028114748,Ashok Pandey,Microbiology Society,1
A5028114748,Ashok Pandey,Taylor and Francis,1
A5028251167,Hui Liu,Hindawi,1
A5028373050,Peng Zhang,IEEE: Institute of Electrical and Electronics Engineers,2
A5028373050,Peng Zhang,Japanese Society of Veterinary Science,1
A5028389743,Jing Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5028389743,Jing Wang,IOP Publishing,1
A5028481145,Jing Wang,Hindawi,1
A5028599614,Qian Li,Hindawi,1
A5028660596,Jing Zhao,IEEE: Institute of Electrical and Electronics Engineers,1
A5028668508,Lei Zhang,Hindawi,1
A5028750131,Jie Li,Hindawi,1
A5028846529,Jun Yang,IEEE: Institute of Electrical and Electronics Engineers,1
A5028850241,Ying Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5028970982,Yu Zhang,Springer - Nature Publishing Group,1
A5029116476,Jian Xu,BioMed Central (BMC),1
A5029116476,Jian Xu,PLoS,1
A5029249465,Xin Zhang,Hindawi,1
A5029268538,J Boldt,Thieme,2
A5029268538,J Boldt,Georg Thieme Verlag,1
A5029268538,J Boldt,Karger,1
A5029294552,Yan Li,Hindawi,1
A5029326219,T. Liu,International Union of Crystallography,21
A5029386533,Bo Wang,Hindawi,1
A5029601647,Pei Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5029717979,Diederik A. Stapel,American Psychological Association (APA),14
A5029717979,Diederik A. Stapel,SAGE Publications,11
A5029717979,Diederik A. Stapel,Wiley,10
A5029717979,Diederik A. Stapel,Elsevier,7
A5029717979,Diederik A. Stapel,Taylor and Francis,7
A5029717979,Diederik A. Stapel,Guilford Press,2
A5029717979,Diederik A. Stapel,Springer,2
A5029717979,Diederik A. Stapel,American Association for the Advancement of Science (AAAS),1
A5029717979,Diederik A. Stapel,Hogrefe and Huber Publishers / Dansk psykologisk Forlag,1
A5029717979,Diederik A. Stapel,Oxford University Press,1
A5029860349,Yan Chen,Cellular Physiol Biochem Press,1
A5029911992,Bin Zhang,Hindawi,1
A5029918685,Yan Wang,Wiley,1
A5029930363,Xin Li,BMJ Publishing,1
A5029967759,Jun Wang,IOS Press (bought by Sage November 2023),1
A5029996983,Jing Chen,Hindawi,1
