openalex_author_id,author,reason,unique_retracted_papers
A5005804072,Jun Zhang,Unreliable Results and/or Conclusions,2
A5005876103,Wei Liu,Concerns/Issues about Data,1
A5005876103,Wei Liu,Concerns/Issues about Peer Review,1
A5005876103,Wei Liu,Concerns/Issues about Referencing/Attributions,1
A5005876103,Wei Liu,Unreliable Results and/or Conclusions,1
A5005908337,Yan Chen,Computer-Aided Content or Computer-Generated Content,1
A5005908337,Yan Chen,Concerns/Issues about Data,1
A5005908337,Yan Chen,Concerns/Issues about Peer Review,1
A5005908337,Yan Chen,Concerns/Issues about Referencing/Attributions,1
A5005908337,Yan Chen,Concerns/Issues about Results and/or Conclusions,1
A5005908337,Yan Chen,Paper Mill,1
A5005908337,Yan Chen,Unreliable Results and/or Conclusions,1
A5005934609,Yang Zhang,Concerns/Issues about Data,1
A5005934609,Yang Zhang,Concerns/Issues about Human Subject Welfare,1
A5005934609,Yang Zhang,Concerns/Issues about Peer Review,1
A5005934609,Yang Zhang,Concerns/Issues about Referencing/Attributions,1
A5005934609,Yang Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5005934609,Yang Zhang,Unreliable Results and/or Conclusions,1
A5005983977,Hong Zhang,Breach of Policy by Author,2
A5005983977,Hong Zhang,Notice - Limited or No Information,2
A5005983977,Hong Zhang,Date of Article and/or Notice Unknown,1
A5006042664,Dan Liu,Compromised Peer Review,1
A5006042664,Dan Liu,Paper Mill,1
A5006042664,Dan Liu,Unreliable Results and/or Conclusions,1
A5006059676,Tao Liu,Compromised Peer Review,1
A5006059676,Tao Liu,Concerns/Issues about Authorship/Affiliation,1
A5006059676,Tao Liu,Conflict of Interest,1
A5006059676,Tao Liu,Date of Article and/or Notice Unknown,1
A5006059676,Tao Liu,Objections by Author(s),1
A5006134468,Liang Wang,Notice - Limited or No Information,4
A5006134468,Liang Wang,Author Unresponsive,1
A5006134468,Liang Wang,Breach of Policy by Author,1
A5006134468,Liang Wang,Concerns/Issues about Data,1
A5006134468,Liang Wang,Date of Article and/or Notice Unknown,1
A5006134468,Liang Wang,Paper Mill,1
A5006134468,Liang Wang,Unreliable Results and/or Conclusions,1
A5006143021,Lin Zhang,Notice - Limited or No Information,4
A5006143021,Lin Zhang,Breach of Policy by Author,2
A5006143021,Lin Zhang,Date of Article and/or Notice Unknown,1
A5006213514,Yang Wang,Duplication of/in Image,2
A5006213514,Yang Wang,Paper Mill,2
A5006213514,Yang Wang,Duplication of Data,1
A5006213514,Yang Wang,Original Data and/or Images not Provided and/or not Available,1
A5006213514,Yang Wang,Unreliable Results and/or Conclusions,1
A5006228979,P. Li,Concerns/Issues about Data,1
A5006228979,P. Li,Concerns/Issues about Peer Review,1
A5006228979,P. Li,Concerns/Issues about Referencing/Attributions,1
A5006228979,P. Li,Unreliable Results and/or Conclusions,1
A5006284156,Yan Zhang,Computer-Aided Content or Computer-Generated Content,1
A5006284156,Yan Zhang,Concerns/Issues about Data,1
A5006284156,Yan Zhang,Concerns/Issues about Peer Review,1
A5006284156,Yan Zhang,Concerns/Issues about Referencing/Attributions,1
A5006284156,Yan Zhang,Concerns/Issues about Results and/or Conclusions,1
A5006284156,Yan Zhang,Paper Mill,1
A5006284156,Yan Zhang,Unreliable Results and/or Conclusions,1
A5006317498,Xi Chen,Euphemisms for Plagiarism,1
A5006317498,Xi Chen,Plagiarism of Data,1
A5006317498,Xi Chen,Plagiarism of/in Article,1
A5006324322,Qi Wang,Computer-Aided Content or Computer-Generated Content,1
A5006324322,Qi Wang,Concerns/Issues about Data,1
A5006324322,Qi Wang,Concerns/Issues about Peer Review,1
A5006324322,Qi Wang,Concerns/Issues about Referencing/Attributions,1
A5006324322,Qi Wang,Concerns/Issues about Results and/or Conclusions,1
A5006324322,Qi Wang,Informed/Patient Consent - None/Withdrawn,1
A5006324322,Qi Wang,Lack of IRB/IACUC Approval and/or Compliance,1
A5006324322,Qi Wang,Unreliable Results and/or Conclusions,1
A5006402805,Peng Zhang,Concerns/Issues about Data,1
A5006402805,Peng Zhang,Concerns/Issues about Peer Review,1
A5006402805,Peng Zhang,Concerns/Issues about Referencing/Attributions,1
A5006402805,Peng Zhang,Unreliable Results and/or Conclusions,1
A5006447721,Hong Zhang,Concerns/Issues about Referencing/Attributions,1
A5006447721,Hong Zhang,Unreliable Results and/or Conclusions,1
A5006447721,Hong Zhang,Upgrade/Update of Prior Notice(s),1
A5006478175,Bo Zhang,Computer-Aided Content or Computer-Generated Content,1
A5006478175,Bo Zhang,Concerns/Issues about Data,1
A5006478175,Bo Zhang,Concerns/Issues about Peer Review,1
A5006478175,Bo Zhang,Concerns/Issues about Referencing/Attributions,1
A5006478175,Bo Zhang,Concerns/Issues about Results and/or Conclusions,1
A5006478175,Bo Zhang,Unreliable Results and/or Conclusions,1
A5006619863,Hong Zhang,Concerns/Issues about Data,1
A5006619863,Hong Zhang,Concerns/Issues about Peer Review,1
A5006619863,Hong Zhang,Concerns/Issues about Referencing/Attributions,1
A5006619863,Hong Zhang,Unreliable Results and/or Conclusions,1
A5006698197,Lei Wang,Notice - Limited or No Information,2
A5006698197,Lei Wang,Breach of Policy by Author,1
A5006738950,Feng Wang,Compromised Peer Review,1
A5006738950,Feng Wang,Removed,1
A5006774419,Jing Liu,Computer-Aided Content or Computer-Generated Content,1
A5006774419,Jing Liu,Concerns/Issues about Data,1
A5006774419,Jing Liu,Concerns/Issues about Peer Review,1
A5006774419,Jing Liu,Concerns/Issues about Referencing/Attributions,1
A5006774419,Jing Liu,Concerns/Issues about Results and/or Conclusions,1
A5006774419,Jing Liu,Paper Mill,1
A5006774419,Jing Liu,Unreliable Results and/or Conclusions,1
A5006794525,Jie Chen,Computer-Aided Content or Computer-Generated Content,1
A5006794525,Jie Chen,Concerns/Issues about Data,1
A5006794525,Jie Chen,Concerns/Issues about Peer Review,1
A5006794525,Jie Chen,Concerns/Issues about Referencing/Attributions,1
A5006794525,Jie Chen,Concerns/Issues about Results and/or Conclusions,1
A5006794525,Jie Chen,Paper Mill,1
A5006794525,Jie Chen,Unreliable Results and/or Conclusions,1
A5007049678,Li Liu,Compromised Peer Review,1
A5007049678,Li Liu,Concerns/Issues about Article,1
A5007062656,Wei Li,Compromised Peer Review,1
A5007096495,Qi Wang,Compromised Peer Review,1
A5007096495,Qi Wang,Paper Mill,1
A5007096495,Qi Wang,Unreliable Results and/or Conclusions,1
A5007120063,Jian Wang,Computer-Aided Content or Computer-Generated Content,1
A5007120063,Jian Wang,Concerns/Issues about Data,1
A5007120063,Jian Wang,Concerns/Issues about Peer Review,1
A5007120063,Jian Wang,Concerns/Issues about Referencing/Attributions,1
A5007120063,Jian Wang,Concerns/Issues about Results and/or Conclusions,1
A5007120063,Jian Wang,Paper Mill,1
A5007120063,Jian Wang,Unreliable Results and/or Conclusions,1
A5007205237,Fang Liu,Concerns/Issues about Data,1
A5007205237,Fang Liu,Concerns/Issues about Image,1
A5007205237,Fang Liu,Concerns/Issues about Results and/or Conclusions,1
A5007205237,Fang Liu,Duplication of Data,1
A5007205237,Fang Liu,Duplication of/in Image,1
A5007205237,Fang Liu,Error in Analyses,1
A5007205237,Fang Liu,Error in Methods,1
A5007205237,Fang Liu,Unreliable Results and/or Conclusions,1
A5007289800,Li Zhang,Computer-Aided Content or Computer-Generated Content,1
A5007289800,Li Zhang,Concerns/Issues about Data,1
A5007289800,Li Zhang,Concerns/Issues about Peer Review,1
A5007289800,Li Zhang,Concerns/Issues about Referencing/Attributions,1
A5007289800,Li Zhang,Concerns/Issues about Results and/or Conclusions,1
A5007289800,Li Zhang,Unreliable Results and/or Conclusions,1
A5007564658,Li Zhang,Computer-Aided Content or Computer-Generated Content,1
A5007564658,Li Zhang,Concerns/Issues about Data,1
A5007564658,Li Zhang,Concerns/Issues about Peer Review,1
A5007564658,Li Zhang,Concerns/Issues about Referencing/Attributions,1
A5007564658,Li Zhang,Concerns/Issues about Results and/or Conclusions,1
A5007564658,Li Zhang,Paper Mill,1
A5007564658,Li Zhang,Unreliable Results and/or Conclusions,1
A5007650371,Yong Zhang,Duplication of/in Article,1
A5007650371,Yong Zhang,Euphemisms for Duplication,1
A5007650371,Yong Zhang,Euphemisms for Plagiarism,1
A5007650371,Yong Zhang,Paper Mill,1
A5007650371,Yong Zhang,Plagiarism of Image,1
A5007650371,Yong Zhang,Unreliable Results and/or Conclusions,1
A5007650371,Yong Zhang,Upgrade/Update of Prior Notice(s),1
A5007661149,Hui Li,Compromised Peer Review,1
A5007661149,Hui Li,Concerns/Issues about Referencing/Attributions,1
A5007661149,Hui Li,Conflict of Interest,1
A5007661149,Hui Li,Misconduct - Official Investigation(s) and/or Finding(s),1
A5007661149,Hui Li,Rogue Editor,1
A5007661149,Hui Li,Unreliable Results and/or Conclusions,1
A5007661986,Jie Zhang,Concerns/Issues about Data,1
A5007661986,Jie Zhang,Concerns/Issues about Peer Review,1
A5007661986,Jie Zhang,Concerns/Issues about Referencing/Attributions,1
A5007661986,Jie Zhang,Unreliable Results and/or Conclusions,1
A5007810825,Dan Liu,Results Not Reproducible,1
A5007944403,Ping Wang,Concerns/Issues about Data,1
A5007944403,Ping Wang,Concerns/Issues about Human Subject Welfare,1
A5007944403,Ping Wang,Concerns/Issues about Peer Review,1
A5007944403,Ping Wang,Concerns/Issues about Referencing/Attributions,1
A5007944403,Ping Wang,Lack of IRB/IACUC Approval and/or Compliance,1
A5007944403,Ping Wang,Unreliable Results and/or Conclusions,1
A5007971153,Ping Wang,Compromised Peer Review,1
A5007971153,Ping Wang,Rogue Editor,1
A5007971153,Ping Wang,Unreliable Results and/or Conclusions,1
A5008016038,Jie Chen,Notice - Limited or No Information,1
A5008061427,Li Yang,Author Unresponsive,1
A5008061427,Li Yang,Concerns/Issues about Data,1
A5008061427,Li Yang,Duplication of/in Image,1
A5008061427,Li Yang,Objections by Third Party,1
A5008061427,Li Yang,Paper Mill,1
A5008114041,Jie Chen,Compromised Peer Review,1
A5008114041,Jie Chen,Concerns/Issues about Authorship/Affiliation,1
A5008114041,Jie Chen,Concerns/Issues about Referencing/Attributions,1
A5008114041,Jie Chen,Paper Mill,1
A5008114041,Jie Chen,Rogue Editor,1
A5008114041,Jie Chen,Unreliable Results and/or Conclusions,1
A5008213873,Jun Zhang,Computer-Aided Content or Computer-Generated Content,1
A5008213873,Jun Zhang,Concerns/Issues about Data,1
A5008213873,Jun Zhang,Concerns/Issues about Peer Review,1
A5008213873,Jun Zhang,Concerns/Issues about Referencing/Attributions,1
A5008213873,Jun Zhang,Concerns/Issues about Results and/or Conclusions,1
A5008213873,Jun Zhang,Informed/Patient Consent - None/Withdrawn,1
A5008213873,Jun Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5008213873,Jun Zhang,Unreliable Results and/or Conclusions,1
